	distance	word_pos	sent_pos	sent_nr	subj_nr	token	resolved	rt_fp	spill_fp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	target_skipped
159	?	3	196	39	40	him	0	0	0	?	him	False	O	False	3	0	1
160	?	3	97	39	41	him	0	0	0	?	him	False	O	False	3	0	1
161	?	3	35	39	42	him	0	0	160	?	him	False	O	False	3	0	1
162	?	3	131	39	43	him	0	172	188	?	him	False	O	False	3	0	0
163	?	2	146	50	1	they	0	192	124	?	they	False	O	True	4	0	0
164	?	2	53	50	2	they	0	204	308	?	they	False	O	True	4	0	0
165	?	2	86	50	3	they	0	184	296	?	they	False	O	True	4	0	0
166	?	2	79	50	4	they	0	0	240	?	they	False	O	True	4	0	1
167	?	2	195	50	5	they	0	0	0	?	they	False	O	True	4	0	1
168	?	2	181	50	6	they	0	0	0	?	they	False	O	True	4	0	1
169	?	2	159	50	7	they	0	140	180	?	they	False	O	True	4	0	0
170	?	2	196	50	8	they	0	156	164	?	they	False	O	True	4	0	0
171	?	2	93	50	10	they	0	272	304	?	they	False	O	True	4	0	0
172	?	2	19	50	11	they	0	140	160	?	they	False	O	True	4	0	0
173	?	2	162	50	12	they	0	156	132	?	they	False	O	True	4	0	0
174	?	2	35	50	13	they	0	248	256	?	they	False	O	True	4	0	0
175	?	2	102	50	14	they	0	172	0	?	they	False	O	True	4	0	0
176	?	2	106	50	15	they	0	156	0	?	they	False	O	True	4	0	0
177	?	2	118	50	16	they	0	384	184	?	they	False	O	True	4	0	0
178	?	2	144	50	17	they	0	180	160	?	they	False	O	True	4	0	0
179	?	2	85	50	18	they	0	0	212	?	they	False	O	True	4	0	1
180	?	2	199	50	19	they	0	176	180	?	they	False	O	True	4	0	0
181	?	2	179	50	20	they	0	136	140	?	they	False	O	True	4	0	0
182	?	2	205	50	21	they	0	0	140	?	they	False	O	True	4	0	1
183	?	2	118	50	22	they	0	292	148	?	they	False	O	True	4	0	0
184	?	2	82	50	23	they	0	140	284	?	they	False	O	True	4	0	0
185	?	2	205	50	24	they	0	0	428	?	they	False	O	True	4	0	1
186	?	2	163	50	25	they	0	244	156	?	they	False	O	True	4	0	0
187	?	2	42	50	27	they	0	256	276	?	they	False	O	True	4	0	0
188	?	2	61	50	28	they	0	264	524	?	they	False	O	True	4	0	0
189	?	2	118	50	29	they	0	188	188	?	they	False	O	True	4	0	0
190	?	2	108	50	30	they	0	256	580	?	they	False	O	True	4	0	0
191	?	2	96	50	31	they	0	0	176	?	they	False	O	True	4	0	1
192	?	2	158	50	32	they	0	232	260	?	they	False	O	True	4	0	0
193	?	2	148	50	33	they	0	364	172	?	they	False	O	True	4	0	0
194	?	2	13	50	34	they	0	0	180	?	they	False	O	True	4	0	1
195	?	2	152	50	35	they	0	164	156	?	they	False	O	True	4	0	0
196	?	2	141	50	36	they	0	196	124	?	they	False	O	True	4	0	0
197	?	2	135	50	37	they	0	104	144	?	they	False	O	True	4	0	0
198	?	2	142	50	38	they	0	308	0	?	they	False	O	True	4	0	0
199	?	2	174	50	39	they	0	176	0	?	they	False	O	True	4	0	0
200	?	2	162	50	40	they	0	0	0	?	they	False	O	True	4	0	1
201	?	2	117	50	41	they	0	0	0	?	they	False	O	True	4	0	1
202	?	2	37	50	42	they	0	172	148	?	they	False	O	True	4	0	0
203	?	2	169	50	43	they	0	192	184	?	they	False	O	True	4	0	0
204	?	3	198	59	1	he	0	204	224	?	he	False	O	False	2	0	0
205	?	3	32	59	2	he	0	132	0	?	he	False	O	False	2	0	0
206	?	3	33	59	3	he	0	428	176	?	he	False	O	False	2	0	0
207	?	3	156	59	4	he	0	180	0	?	he	False	O	False	2	0	0
